country_code,country,year,renewable_share,energy_use_per_capita,population,gdp_per_capita,total_energy_use,energy_intensity
FRA,France,1997,10.0,4043.67394488538,59968066.0,30325.522871824,242491306009.36682,0.13334226624802673
FRA,France,1998,9.7,4146.55454542881,60190684.0,31256.5073830655,249583954332.66916,0.1326621203901808
FRA,France,1999,9.8,4117.93049493822,60501986.0,32152.7207478734,249142973153.72528,0.12807409137251885
FRA,France,2000,9.3,4130.17270058081,60918661.0,33255.1379642335,251604590618.13684,0.12419652881978371
FRA,France,2001,9.4,4240.43326978854,61364377.0,33640.6738002565,260211545810.6467,0.12605078289948543
FRA,France,2002,8.7,4220.32024855816,61812142.0,33753.5782979758,260867034489.35226,0.12503326940039575
FRA,France,2003,8.8,4296.5464931216,62249855.0,33840.6175720101,267459396197.5781,0.12696418686742036
FRA,France,2004,8.9,4327.20397302417,62707588.0,34557.1471111581,271348523932.3628,0.12521878496234334
FRA,France,2005,8.6,4313.6963002429,63180854.0,34946.0372494703,272543016145.98685,0.12343878275664248
FRA,France,2006,8.5,4214.29234630039,63622342.0,35645.4162427116,268123148944.30585,0.11822817042183043
FRA,France,2007,9.4,4142.17819118209,64016890.0,36322.1685141004,265169365625.30283,0.11403994752059149
FRA,France,2008,10.5,4137.71989985562,64375116.0,36257.3658930938,266366198528.7139,0.11412080822572278
FRA,France,2009,11.2,3938.38637955439,64706436.0,35052.8510772683,254838946211.90784,0.11235566461834612
FRA,France,2010,11.9,4040.43918739374,65026211.0,35578.1968010183,262734451132.13388,0.1135650356309822
FRA,France,2011,10.6,3951.00450412595,65340830.0,36269.9561530888,258161913633.328,0.10893325835436601
FRA,France,2012,12.3,3929.20601557226,65657659.0,36161.2918253465,257982468711.19214,0.10865778895703514
FRA,France,2013,13.4,3925.86545930191,65997932.0,36256.086680981,259099001624.15622,0.1082815554211844
FRA,France,2014,13.2,3755.83244171123,66312067.0,36444.3949089146,249057012515.52866,0.10305651804888445
FRA,France,2015,13.3,3799.19260526718,66548272.0,36702.4323733379,252829702875.70895,0.10351337389908426
FRA,France,2016,14.2,3718.17053401513,66724104.0,36920.5342846914,248091597401.36108,0.10070738698808103
FRA,France,2017,14.1,3705.41111644137,66918020.0,37580.5979329356,247958775198.2459,0.09859904632315472
FRA,France,2018,15.2,3669.37065950443,67158348.0,38062.4435961412,246428871691.988,0.09640396970930247
FRA,France,2019,15.5,3605.53190025511,67382061.0,38705.2072940618,242948170440.43573,0.0931536646441957
FRA,France,2020,16.8,3228.48915727036,67601110.0,35709.2045925926,218249450654.44092,0.09041055924107778
